committee,date,absences
"Committee on Special Events, Cultural Affairs and Recreation",9/21/15 0:00,9
Committee on Transportation and Public Way,10/24/12 0:00,9
Committee on Transportation and Public Way,3/27/14 0:00,9
Committee on Transportation and Public Way,1/14/15 0:00,9
Committee on Workforce Development and Audit,6/19/13 0:00,9
Committee on Workforce Development and Audit,2/26/14 0:00,9
Committee on Workforce Development and Audit,9/3/14 0:00,9
Committee on Workforce Development and Audit,11/15/16 0:00,9
"Committee on Zoning, Landmarks and Building Standards",10/18/11 0:00,9
"Committee on Zoning, Landmarks and Building Standards",3/22/12 0:00,9
"Committee on Zoning, Landmarks and Building Standards",6/25/12 0:00,9
"Committee on Zoning, Landmarks and Building Standards",9/27/12 0:00,9
"Committee on Zoning, Landmarks and Building Standards",3/26/13 0:00,9
"Committee on Zoning, Landmarks and Building Standards",12/5/13 0:00,9
"Committee on Zoning, Landmarks and Building Standards",10/20/15 0:00,9
"Committee on Zoning, Landmarks and Building Standards",11/17/15 0:00,9
"Committee on Zoning, Landmarks and Building Standards",3/14/16 0:00,9
Committee on Aviation,6/15/16 0:00,10
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,10
"Committee on Economic, Capital and Technology Development",7/19/12 0:00,10
"Committee on Economic, Capital and Technology Development",11/4/13 0:00,10
"Committee on Economic, Capital and Technology Development",1/13/15 0:00,10
"Committee on Economic, Capital and Technology Development",10/26/15 0:00,10
"Committee on Economic, Capital and Technology Development",1/11/16 0:00,10
"Committee on Economic, Capital and Technology Development",5/16/16 0:00,10
Committee on Education and Child Development,9/28/11 0:00,10
Committee on Finance,2/11/13 0:00,10
Committee on Finance,5/6/13 0:00,10
Committee on Finance,6/24/14 0:00,10
Committee on Health and Environmental Protection,5/12/16 0:00,10
Committee on Health and Environmental Protection,9/7/16 0:00,10
Committee on Housing and Real Estate,10/22/12 0:00,10
Committee on Housing and Real Estate,3/25/13 0:00,10
Committee on Housing and Real Estate,12/5/13 0:00,10
Committee on Housing and Real Estate,10/20/15 0:00,10
Committee on Human Relations,10/3/11 0:00,10
Committee on Human Relations,1/12/12 0:00,10
Committee on Human Relations,2/16/12 0:00,10
Committee on Human Relations,3/19/12 0:00,10
Committee on Human Relations,5/29/12 0:00,10
Committee on License and Consumer Protection,11/18/14 0:00,10
Committee on Pedestrian and Traffic Safety,11/15/11 0:00,10
Committee on Public Safety,3/8/12 0:00,10
Committee on Public Safety,4/12/12 0:00,10
Committee on Public Safety,5/2/13 0:00,10
Committee on Public Safety,7/24/14 0:00,10
Committee on Public Safety,4/30/15 0:00,10
Committee on Public Safety,6/14/16 0:00,10
"Committee on Special Events, Cultural Affairs and Recreation",3/4/14 0:00,10
"Committee on Special Events, Cultural Affairs and Recreation",11/3/14 0:00,10
"Committee on Special Events, Cultural Affairs and Recreation",6/20/16 0:00,10
Committee on Transportation and Public Way,9/5/12 0:00,10
"Committee on Zoning, Landmarks and Building Standards",1/8/14 0:00,10
"Committee on Zoning, Landmarks and Building Standards",7/28/14 0:00,10
"Committee on Zoning, Landmarks and Building Standards",4/13/15 0:00,10
"Committee on Zoning, Landmarks and Building Standards",6/2/16 0:00,10
"Committee on Zoning, Landmarks and Building Standards",6/20/16 0:00,10
"Committee on Zoning, Landmarks and Building Standards",11/29/16 0:00,10
"Committee on Zoning, Landmarks and Building Standards",12/12/16 0:00,10
"Committee on Economic, Capital and Technology Development",10/26/11 0:00,11
"Committee on Economic, Capital and Technology Development",4/16/12 0:00,11
"Committee on Economic, Capital and Technology Development",9/10/12 0:00,11
"Committee on Economic, Capital and Technology Development",9/10/13 0:00,11
"Committee on Economic, Capital and Technology Development",5/21/14 0:00,11
"Committee on Economic, Capital and Technology Development",5/5/15 0:00,11
Committee on Education and Child Development,5/2/12 0:00,11
Committee on Education and Child Development,5/30/12 0:00,11
Committee on Finance,12/12/11 0:00,11
Committee on Finance,4/8/13 0:00,11
Committee on Finance,12/9/13 0:00,11
Committee on Finance,3/31/14 0:00,11
Committee on Finance,4/28/14 0:00,11
Committee on Finance,10/6/14 0:00,11
Committee on Finance,12/7/15 0:00,11
Committee on Housing and Real Estate,6/13/12 0:00,11
Committee on Housing and Real Estate,10/9/13 0:00,11
Committee on Housing and Real Estate,11/5/13 0:00,11
Committee on Housing and Real Estate,10/29/14 0:00,11
Committee on Human Relations,10/27/14 0:00,11
Committee on Human Relations,7/13/16 0:00,11
Committee on License and Consumer Protection,11/25/13 0:00,11
Committee on License and Consumer Protection,10/26/16 0:00,11
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,11
Committee on Public Safety,10/15/13 0:00,11
Committee on Public Safety,1/30/14 0:00,11
Committee on Public Safety,10/2/14 0:00,11
Committee on Public Safety,5/24/16 0:00,11
Committee on Public Safety,7/11/16 0:00,11
Committee on Workforce Development and Audit,9/11/12 0:00,11
Committee on Workforce Development and Audit,11/22/13 0:00,11
Committee on Workforce Development and Audit,3/25/14 0:00,11
"Committee on Zoning, Landmarks and Building Standards",4/26/12 0:00,11
"Committee on Zoning, Landmarks and Building Standards",3/4/14 0:00,11
"Committee on Zoning, Landmarks and Building Standards",12/7/15 0:00,11
"Committee on Economic, Capital and Technology Development",4/13/15 0:00,12
"Committee on Economic, Capital and Technology Development",7/20/15 0:00,12
"Committee on Economic, Capital and Technology Development",9/7/16 0:00,12
Committee on Education and Child Development,2/22/12 0:00,12
Committee on Finance,2/14/12 0:00,12
Committee on Finance,5/7/12 0:00,12
Committee on Finance,11/25/13 0:00,12
Committee on Housing and Real Estate,5/3/12 0:00,12
Committee on Human Relations,9/10/12 0:00,12
Committee on Public Safety,2/9/12 0:00,12
Committee on Public Safety,7/19/12 0:00,12
Committee on Public Safety,2/28/14 0:00,12
Committee on Workforce Development and Audit,6/20/12 0:00,12
Committee on Workforce Development and Audit,9/10/15 0:00,12
Committee on Workforce Development and Audit,10/4/16 0:00,12
"Committee on Zoning, Landmarks and Building Standards",5/13/15 0:00,12
"Committee on Zoning, Landmarks and Building Standards",9/27/16 0:00,12
Committee on Budget and Government Operations,11/18/13 0:00,13
"Committee on Economic, Capital and Technology Development",10/10/13 0:00,13
"Committee on Economic, Capital and Technology Development",10/23/14 0:00,13
"Committee on Economic, Capital and Technology Development",12/7/16 0:00,13
Committee on Education and Child Development,4/22/14 0:00,13
Committee on Education and Child Development,5/4/15 0:00,13
Committee on Education and Child Development,8/31/16 0:00,13
Committee on Finance,1/17/12 0:00,13
Committee on Finance,11/14/12 0:00,13
Committee on Health and Environmental Protection,5/30/13 0:00,13
Committee on License and Consumer Protection,11/1/11 0:00,13
Committee on License and Consumer Protection,10/30/14 0:00,13
Committee on Public Safety,11/5/12 0:00,13
"Committee on Special Events, Cultural Affairs and Recreation",10/20/15 0:00,13
Committee on Workforce Development and Audit,4/11/12 0:00,13
Committee on Workforce Development and Audit,1/29/14 0:00,13
Committee on Workforce Development and Audit,10/20/15 0:00,13
"Committee on Zoning, Landmarks and Building Standards",11/1/11 0:00,13
"Committee on Zoning, Landmarks and Building Standards",8/23/12 0:00,13
"Committee on Zoning, Landmarks and Building Standards",9/11/12 0:00,13
"Committee on Zoning, Landmarks and Building Standards",3/12/15 0:00,13
Committee on Budget and Government Operations,1/16/13 0:00,14
"Committee on Economic, Capital and Technology Development",6/14/16 0:00,14
Committee on Education and Child Development,7/18/12 0:00,14
Committee on Education and Child Development,6/29/15 0:00,14
Committee on Finance,9/6/13 0:00,14
Committee on Finance,4/14/15 0:00,14
Committee on Finance,3/11/16 0:00,14
Committee on Health and Environmental Protection,9/27/11 0:00,14
Committee on Health and Environmental Protection,10/15/13 0:00,14
Committee on Public Safety,12/8/11 0:00,14
Committee on Public Safety,9/6/12 0:00,14
Committee on Public Safety,9/27/12 0:00,14
Committee on Public Safety,1/20/15 0:00,14
"Committee on Special Events, Cultural Affairs and Recreation",3/17/15 0:00,14
Committee on Workforce Development and Audit,4/28/15 0:00,14
"Committee on Zoning, Landmarks and Building Standards",12/3/12 0:00,14
"Committee on Zoning, Landmarks and Building Standards",8/24/16 0:00,14
Committee on Finance,11/12/13 0:00,15
Committee on Finance,11/3/14 0:00,15
Committee on Health and Environmental Protection,11/6/13 0:00,15
Committee on Health and Environmental Protection,1/20/15 0:00,15
Committee on Public Safety,5/31/12 0:00,15
Committee on Public Safety,3/22/16 0:00,15
Committee on Workforce Development and Audit,7/8/16 0:00,15
Committee on Budget and Government Operations,7/23/13 0:00,16
"Committee on Committees, Rules and Ethics",7/12/16 0:00,16
Committee on Finance,11/1/11 0:00,16
Committee on Finance,3/12/12 0:00,16
Committee on Finance,10/2/12 0:00,16
Committee on Finance,7/19/13 0:00,16
Committee on Finance,7/28/14 0:00,16
Committee on Finance,11/10/14 0:00,16
Committee on Finance,9/30/16 0:00,16
Committee on Budget and Government Operations,11/7/12 0:00,17
Committee on Budget and Government Operations,4/9/13 0:00,17
Committee on Finance,6/4/12 0:00,17
Committee on Finance,9/10/12 0:00,17
Committee on Finance,10/30/12 0:00,17
Committee on Finance,5/31/13 0:00,17
Committee on Finance,6/24/13 0:00,17
Committee on Finance,3/16/15 0:00,17
Committee on Health and Environmental Protection,3/12/12 0:00,17
Committee on Workforce Development and Audit,11/7/12 0:00,17
"Committee on Committees, Rules and Ethics",5/7/12 0:00,18
Committee on Finance,11/18/14 0:00,18
Committee on Finance,4/13/15 0:00,18
Committee on Budget and Government Operations,11/7/11 0:00,19
Committee on Budget and Government Operations,1/17/12 0:00,19
Committee on Budget and Government Operations,12/11/12 0:00,19
Committee on Finance,11/14/16 0:00,19
Committee on Budget and Government Operations,3/13/12 0:00,20
Committee on Budget and Government Operations,2/11/13 0:00,20
Committee on Budget and Government Operations,10/15/13 0:00,20
Committee on Finance,11/7/11 0:00,20
Committee on Finance,6/22/12 0:00,20
Committee on Finance,7/20/12 0:00,20
Committee on Finance,10/11/13 0:00,20
Committee on Finance,11/18/13 0:00,20
Committee on Finance,1/15/15 0:00,20
Committee on Budget and Government Operations,2/14/12 0:00,21
Committee on Finance,5/23/14 0:00,21
Committee on Budget and Government Operations,6/4/13 0:00,23
Committee on Budget and Government Operations,6/25/13 0:00,24
Committee on Budget and Government Operations,10/3/11 0:00,25
"Committee on Committees, Rules and Ethics",7/18/12 0:00,25
Committee on Finance,11/7/12 0:00,25
Committee on Budget and Government Operations,9/10/12 0:00,27
"Committee on Committees, Rules and Ethics",4/24/13 0:00,27
Committee on Budget and Government Operations,6/26/12 0:00,28
Committee on Budget and Government Operations,10/2/12 0:00,28
Committee on Finance,5/15/15 0:00,28
Committee on Budget and Government Operations,7/24/12 0:00,29
"Committee on Committees, Rules and Ethics",3/17/15 0:00,29
Committee on Budget and Government Operations,4/17/12 0:00,30
Committee on Budget and Government Operations,11/8/13 0:00,30
Committee on Finance,1/15/13 0:00,30
Committee on Budget and Government Operations,10/26/12 0:00,31
"Committee on Committees, Rules and Ethics",1/16/13 0:00,31
Committee on Budget and Government Operations,10/31/11 0:00,32
Committee on Budget and Government Operations,11/14/11 0:00,32
Committee on Budget and Government Operations,5/8/12 0:00,32
"Committee on Committees, Rules and Ethics",6/27/12 0:00,35
"Committee on Committees, Rules and Ethics",9/11/12 0:00,36
"Committee on Committees, Rules and Ethics",6/26/13 0:00,37
"Committee on Committees, Rules and Ethics",10/30/12 0:00,39
"Committee on Committees, Rules and Ethics",1/11/16 0:00,39
"Committee on Committees, Rules and Ethics",6/6/16 0:00,40
"Committee on Committees, Rules and Ethics",10/2/12 0:00,41
"Committee on Committees, Rules and Ethics",11/15/12 0:00,42
"Committee on Committees, Rules and Ethics",12/1/15 0:00,43
